,,ABMF00GLP,ABMF00GLP,ABMF00GLP,ABMF00GLP,ALIC00AUS,ALIC00AUS,ALIC00AUS,ALIC00AUS,AREG00PER,AREG00PER,AREG00PER,AREG00PER,ASCG00SHN,ASCG00SHN,ASCG00SHN,ASCG00SHN,BRST00FRA,BRST00FRA,BRST00FRA,BRST00FRA,BRUX00BEL,BRUX00BEL,BRUX00BEL,BRUX00BEL,CAS100ATA,CAS100ATA,CAS100ATA,CAS100ATA,CEBR00ESP,CEBR00ESP,CEBR00ESP,CEBR00ESP,CHPG00BRA,CHPG00BRA,CHPG00BRA,CHPG00BRA,CIBG00IDN,CIBG00IDN,CIBG00IDN,CIBG00IDN,CKIS00COK,CKIS00COK,CKIS00COK,CKIS00COK,COCO00AUS,COCO00AUS,COCO00AUS,COCO00AUS,CUUT00THA,CUUT00THA,CUUT00THA,CUUT00THA,DJIG00DJI,DJIG00DJI,DJIG00DJI,DJIG00DJI,DYNG00GRC,DYNG00GRC,DYNG00GRC,DYNG00GRC,EBRE00ESP,EBRE00ESP,EBRE00ESP,EBRE00ESP,FTNA00WLF,FTNA00WLF,FTNA00WLF,FTNA00WLF,GAMB00PYF,GAMB00PYF,GAMB00PYF,GAMB00PYF,GANP00SVK,GANP00SVK,GANP00SVK,GANP00SVK,GRAC00FRA,GRAC00FRA,GRAC00FRA,GRAC00FRA,HARB00ZAF,HARB00ZAF,HARB00ZAF,HARB00ZAF,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HOFN00ISL,HOFN00ISL,HOFN00ISL,HOFN00ISL,JFNG00CHN,JFNG00CHN,JFNG00CHN,JFNG00CHN,KARR00AUS,KARR00AUS,KARR00AUS,KARR00AUS,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRU00SWE,KIRU00SWE,KIRU00SWE,KIRU00SWE,KOUG00GUF,KOUG00GUF,KOUG00GUF,KOUG00GUF,KOUR00GUF,KOUR00GUF,KOUR00GUF,KOUR00GUF,KRGG00ATF,KRGG00ATF,KRGG00ATF,KRGG00ATF,LAUT00FJI,LAUT00FJI,LAUT00FJI,LAUT00FJI,MAJU00MHL,MAJU00MHL,MAJU00MHL,MAJU00MHL,MAL200KEN,MAL200KEN,MAL200KEN,MAL200KEN,MARS00FRA,MARS00FRA,MARS00FRA,MARS00FRA,MAS100ESP,MAS100ESP,MAS100ESP,MAS100ESP,MCHL00AUS,MCHL00AUS,MCHL00AUS,MCHL00AUS,METG00FIN,METG00FIN,METG00FIN,METG00FIN,MGUE00ARG,MGUE00ARG,MGUE00ARG,MGUE00ARG,MOBS00AUS,MOBS00AUS,MOBS00AUS,MOBS00AUS,MRO100AUS,MRO100AUS,MRO100AUS,MRO100AUS,NICO00CYP,NICO00CYP,NICO00CYP,NICO00CYP,NIUM00NIU,NIUM00NIU,NIUM00NIU,NIUM00NIU,NKLG00GAB,NKLG00GAB,NKLG00GAB,NKLG00GAB,NNOR00AUS,NNOR00AUS,NNOR00AUS,NNOR00AUS,PERT00AUS,PERT00AUS,PERT00AUS,PERT00AUS,PNGM00PNG,PNGM00PNG,PNGM00PNG,PNGM00PNG,POHN00FSM,POHN00FSM,POHN00FSM,POHN00FSM,PTVL00VUT,PTVL00VUT,PTVL00VUT,PTVL00VUT,REDU00BEL,REDU00BEL,REDU00BEL,REDU00BEL,REYK00ISL,REYK00ISL,REYK00ISL,REYK00ISL,RGDG00ARG,RGDG00ARG,RGDG00ARG,RGDG00ARG,SAMO00WSM,SAMO00WSM,SAMO00WSM,SAMO00WSM,SEYG00SYC,SEYG00SYC,SEYG00SYC,SEYG00SYC,SOLO00SLB,SOLO00SLB,SOLO00SLB,SOLO00SLB,STJ300CAN,STJ300CAN,STJ300CAN,STJ300CAN,THTG00PYF,THTG00PYF,THTG00PYF,THTG00PYF,TLSE00FRA,TLSE00FRA,TLSE00FRA,TLSE00FRA,TLSG00FRA,TLSG00FRA,TLSG00FRA,TLSG00FRA,TONG00TON,TONG00TON,TONG00TON,TONG00TON,TOW200AUS,TOW200AUS,TOW200AUS,TOW200AUS,TUVA00TUV,TUVA00TUV,TUVA00TUV,TUVA00TUV,UNBN00CAN,UNBN00CAN,UNBN00CAN,UNBN00CAN,VILL00ESP,VILL00ESP,VILL00ESP,VILL00ESP,WARK00NZL,WARK00NZL,WARK00NZL,WARK00NZL,WTZR00DEU,WTZR00DEU,WTZR00DEU,WTZR00DEU,XMIS00AUS,XMIS00AUS,XMIS00AUS,XMIS00AUS,YEL200CAN,YEL200CAN,YEL200CAN,YEL200CAN
,,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath
C,2I,42.8,3079.0,24.0,0.34,,,,,44.9,2965.0,11.0,0.39,39.8,6489.0,23.0,0.43,39.8,9285.0,27.0,0.44,39.8,12619.0,8.0,0.45,,,,,39.5,9252.0,49.0,0.57,43.8,3193.0,19.0,0.5,42.8,23029.0,23.0,0.18,,,,,43.7,28241.0,1.0,0.18,41.2,29660.0,7.0,0.27,39.2,22255.0,144.0,0.43,39.1,15169.0,82.0,0.41,39.7,9077.0,14.0,0.63,37.3,15322.0,26.0,0.38,43.1,2294.0,15.0,0.4,38.5,13809.0,328.0,0.6,40.8,11521.0,114.0,0.23,34.0,3959.0,81.0,0.49,45.9,23029.0,16.0,0.13,46.2,23028.0,16.0,0.14,,,,,41.9,28626.0,19.0,0.26,,,,,,,,,43.6,11882.0,31.0,0.39,43.0,3412.0,8.0,0.31,44.9,3220.0,8.0,0.3,41.7,21323.0,83.0,0.25,,,,,,,,,40.3,22816.0,52.0,0.41,39.4,7987.0,68.0,0.55,43.0,7664.0,6.0,0.44,,,,,40.7,14103.0,84.0,0.38,46.5,2891.0,6.0,0.34,,,,,,,,,,,,,,,,,38.9,9402.0,471.0,0.86,43.8,33223.0,36.0,0.29,,,,,,,,,,,,,,,,,41.2,12204.0,16.0,0.45,41.9,8038.0,20.0,0.33,40.3,5553.0,14.0,0.42,,,,,40.5,25113.0,26.0,0.33,,,,,46.3,2638.0,3.0,0.33,40.2,7992.0,482.0,1.0,39.9,10361.0,11.0,0.43,40.2,11917.0,10.0,0.7,,,,,,,,,,,,,,,,,40.2,8868.0,21.0,0.49,40.2,18977.0,37.0,0.57,42.3,14286.0,19.0,0.34,,,,,44.0,8597.0,37.0,0.43
C,7I,48.8,3078.0,24.0,0.46,48.4,22397.0,17.0,0.0,46.0,2956.0,11.0,0.28,41.1,6473.0,33.0,0.32,40.2,9252.0,45.0,0.37,43.3,10641.0,9.0,0.21,41.6,23859.0,108.0,0.0,42.5,7949.0,14.0,0.43,45.2,3154.0,25.0,0.38,48.2,23029.0,23.0,0.15,41.9,10727.0,17.0,0.0,45.6,28241.0,1.0,0.12,40.6,29637.0,16.0,0.22,40.1,22040.0,258.0,0.33,42.2,15103.0,117.0,0.32,40.2,9044.0,30.0,0.46,41.4,15196.0,100.0,0.24,44.7,2250.0,33.0,0.3,39.9,13718.0,333.0,0.5,40.7,10454.0,38.0,0.24,27.6,2272.0,74.0,0.34,43.3,23029.0,16.0,0.12,46.5,23028.0,16.0,0.11,,,,,44.7,28597.0,32.0,0.2,44.4,32245.0,31.0,0.0,43.4,19869.0,76.0,0.0,44.4,9816.0,20.0,0.31,47.3,3412.0,8.0,0.33,46.3,3275.0,7.0,0.25,46.3,21303.0,103.0,0.2,42.6,19085.0,167.0,0.0,43.6,21499.0,41.0,0.0,42.1,17436.0,34.0,0.26,45.1,7986.0,68.0,0.67,41.7,6949.0,8.0,0.37,43.9,25500.0,479.0,0.0,42.4,13452.0,84.0,0.29,45.9,2897.0,8.0,0.26,45.0,23965.0,28.0,0.0,43.7,31158.0,82.0,0.0,,,,,41.5,14492.0,160.0,0.0,42.1,9274.0,502.0,0.64,45.4,28629.0,16.0,0.24,44.8,28497.0,30.0,0.0,44.3,26559.0,631.0,0.0,44.3,22422.0,51.0,0.0,42.6,16206.0,62.0,0.0,43.5,10267.0,10.0,0.31,45.4,8037.0,21.0,0.36,39.2,5502.0,33.0,0.33,42.2,14798.0,118.0,0.0,42.4,25002.0,82.0,0.25,42.0,16764.0,274.0,0.0,49.1,2619.0,2.0,0.14,43.6,7988.0,483.0,0.92,41.4,10338.0,24.0,0.32,42.5,9986.0,12.0,0.67,42.3,14288.0,64.0,0.0,45.6,21378.0,28.0,0.0,42.1,18193.0,476.0,0.0,,,,,43.4,7657.0,13.0,0.36,41.8,18959.0,43.0,0.41,41.2,14269.0,33.0,0.37,45.1,32697.0,7.0,0.0,44.0,7086.0,37.0,0.24
E,1C,47.5,6365.0,121.0,0.42,49.4,8362.0,17.0,0.26,,,,,,,,,,,,,42.8,12321.0,30.0,0.16,,,,,44.1,11334.0,17.0,0.23,,,,,47.6,5352.0,2.0,0.36,,,,,41.0,4215.0,1.0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.4,8703.0,22.0,0.24,,,,,49.2,6456.0,11.0,0.33,49.6,6014.0,8.0,0.28,49.7,11689.0,26.0,0.34,,,,,,,,,,,,,43.8,12601.0,53.0,0.27,49.6,7130.0,121.0,0.33,43.2,11492.0,29.0,0.22,49.7,6600.0,49.0,0.28,,,,,42.8,11753.0,31.0,0.33,41.8,13482.0,18.0,0.2,48.5,7807.0,19.0,0.21,44.9,12599.0,29.0,0.29,,,,,,,,,45.7,9934.0,34.0,0.21,43.5,10538.0,25.0,0.1,,,,,49.4,11341.0,11.0,0.22,,,,,,,,,44.0,10447.0,30.0,0.25,,,,,,,,,,,,,,,,,44.6,11234.0,23.0,0.26,49.9,10147.0,19.0,0.32,,,,,,,,,,,,,,,,,44.6,11460.0,41.0,0.2,48.8,5605.0,27.0,0.38,,,,,43.8,12146.0,13.0,0.2,,,,,43.7,4770.0,2.0,0.24,,,,,48.5,7794.0,9.0,0.22,44.3,10803.0,29.0,0.26,,,,,50.0,9526.0,14.0,0.26,,,,,45.1,12491.0,61.0,0.19
E,5Q,47.3,6351.0,120.0,0.54,47.8,7961.0,23.0,0.28,,,,,,,,,,,,,45.1,11758.0,15.0,0.13,,,,,45.1,10844.0,14.0,0.21,,,,,46.2,4137.0,4.0,0.35,,,,,40.4,4005.0,1.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.2,8647.0,28.0,0.3,,,,,45.7,6435.0,17.0,0.31,48.2,6004.0,7.0,0.25,48.6,11179.0,36.0,0.38,,,,,,,,,,,,,44.3,12071.0,30.0,0.25,48.0,7121.0,120.0,0.4,42.9,11489.0,27.0,0.2,47.9,6574.0,61.0,0.25,,,,,44.3,10962.0,13.0,0.25,42.5,12089.0,15.0,0.14,48.8,7788.0,16.0,0.24,44.1,11787.0,34.0,0.2,,,,,,,,,42.9,9631.0,33.0,0.17,30.1,2052.0,48.0,0.21,,,,,48.0,10499.0,14.0,0.23,,,,,,,,,44.3,9430.0,15.0,0.21,,,,,,,,,,,,,,,,,45.5,10605.0,20.0,0.22,48.5,10130.0,29.0,0.3,,,,,,,,,,,,,,,,,44.5,10626.0,29.0,0.17,46.9,5542.0,16.0,0.39,,,,,45.0,11520.0,14.0,0.16,,,,,43.5,2374.0,0.0,0.18,,,,,48.1,7782.0,12.0,0.3,45.2,10317.0,27.0,0.25,,,,,48.5,9489.0,14.0,0.23,,,,,43.5,11346.0,57.0,0.15
E,7Q,49.9,6358.0,116.0,0.0,50.1,7979.0,17.0,0.0,,,,,,,,,,,,,45.5,11751.0,12.0,0.0,,,,,45.0,10832.0,19.0,0.0,,,,,48.1,4141.0,1.0,0.0,,,,,42.3,3349.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4,8644.0,31.0,0.0,,,,,44.3,6348.0,54.0,0.0,48.0,6006.0,8.0,0.0,49.9,11186.0,28.0,0.0,,,,,,,,,,,,,44.2,12063.0,25.0,0.0,49.0,7125.0,119.0,0.0,43.0,11525.0,23.0,0.0,49.6,6583.0,57.0,0.0,,,,,44.2,10958.0,18.0,0.0,43.3,12118.0,12.0,0.0,50.3,7801.0,19.0,0.0,44.4,11818.0,30.0,0.0,,,,,,,,,43.7,9691.0,30.0,0.0,44.3,9687.0,20.0,0.0,,,,,49.3,10529.0,11.0,0.0,,,,,,,,,44.9,9447.0,15.0,0.0,,,,,,,,,,,,,,,,,45.6,10615.0,19.0,0.0,49.7,10136.0,25.0,0.0,,,,,,,,,,,,,,,,,45.0,10643.0,25.0,0.0,48.5,5558.0,31.0,0.0,,,,,44.3,11392.0,24.0,0.0,,,,,44.3,2295.0,0.0,0.0,,,,,47.2,7776.0,14.0,0.0,45.5,10331.0,27.0,0.0,,,,,48.1,9486.0,14.0,0.0,,,,,44.3,11357.0,60.0,0.0
E,8Q,45.0,4798.0,1021.0,0.0,45.5,7989.0,18.0,0.0,,,,,,,,,,,,,48.2,11788.0,25.0,0.0,,,,,48.0,10830.0,17.0,0.0,,,,,43.1,4139.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.7,8542.0,43.0,0.0,,,,,40.4,6435.0,13.0,0.0,44.6,6010.0,8.0,0.0,45.9,11158.0,52.0,0.0,,,,,,,,,,,,,47.1,12134.0,23.0,0.0,44.4,7119.0,112.0,0.0,45.7,11622.0,16.0,0.0,45.3,6585.0,54.0,0.0,,,,,47.4,10991.0,11.0,0.0,45.7,11503.0,14.0,0.0,46.9,7479.0,147.0,0.0,47.1,11882.0,14.0,0.0,,,,,,,,,46.2,9708.0,18.0,0.0,46.9,3724.0,1.0,0.0,,,,,45.0,10534.0,9.0,0.0,,,,,,,,,47.5,9273.0,11.0,0.0,,,,,,,,,,,,,,,,,48.5,10661.0,11.0,0.0,45.8,10113.0,32.0,0.0,,,,,,,,,,,,,,,,,47.6,10710.0,15.0,0.0,43.6,5497.0,25.0,0.0,,,,,47.7,11207.0,12.0,0.0,,,,,,,,,,,,,44.4,7667.0,15.0,0.0,48.2,10421.0,19.0,0.0,,,,,45.1,9492.0,14.0,0.0,,,,,46.9,11313.0,59.0,0.0
